Part Code,Series,Description,UOM,Group Code,Group Name,Class Code,Class Name,Activity Code,Activity Name,,,
10101.12169,12169,ANTISLIP AGGREGATE NO.2,Bag,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.12170,12170,FLEXSEAL PS660 (GUN GRADE),Dr,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.12171,12171,HYPERSEAL DP-2005 (20MMX5MM),Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.12223,12223,AWAZEL COAT,Dr,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.12236,12236,KEYFIX AE15,Dr,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.12261,12261,AWAZEL PY 40 L,Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.12262,12262,AWAZEL MS 60-Q,Pcs,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.12268,12268,REPCOAT ZR,Dr,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.12282,12282,DIESEL BASED BITUMEN PRIMER-D45 (20L),Dr,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.12473,12473,AWAZEL DS 40 M,Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.12704,12704,MASTER TILE-FLX 24,Bag,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.12962,12962,FLOCRETE WP CRYSTAL,Bag,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.12976,12976,AWAZEL PY 40 L - M,Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.13006,13006,AQUATHANE R100,Dr,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.13162,13162,KRYSTOL PLUG,Dr,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.13195,13195,AWAZEL DS 40,Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.13616,13616,BITUPROOF 100,Dr,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.13818,13818,BITUMINOUS SELF ADHESIVE MEMBRANE,Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.13929,13929,ALUMINIUM FLASHING 20 X 250 X 0.9MM X 2.44MTR,Pcs,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.13961,13961,ULTRAFLEX – 402 - GREY,Pcs,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.14025,14025,AWAZEL PYG 40250 S,Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.14028,14028,STRONGCOAT PRIMER,Dr,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.14029,14029,STRONGCOAT HB,Dr,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.14030,14030,QUICKMAST 341,Dr,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.14058,14058,QUICKMAST EP500,Bag,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.14093,14093,QUICKMAST 108,Set,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.14094,14094,MAPETEX SEL,Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.14115,14115,MARISEAL FABRIC,Rolls,10101,Waterproofing Sundries,2,Waterproofing Sundries,3,Structure,,,
10101.11532,11532,FLEXSEAL PU425.,Pcs,10101,Waterproofing Sundries,56,Site Consumables,3,Structure,,,
10101.11534,11534,POLYRRON ACROSEAL,Pcs,10101,Waterproofing Sundries,56,Site Consumables,3,Structure,,,
10101.11982,11982,"POLYPROPYLENE CORRUGATED SHEET 1X2MTR, 4MM",Pcs,10101,Waterproofing Sundries,56,Site Consumables,3,Structure,,,
