Site,PO,ID No,Vendor,Value
155,25195,10245,Don Construction Products - Qatar W.L.L,3500
155,25196,10239,Abdel Latif,1700
155,25197,19999,Cash,220
155,25198,19999,Cash,300
152,25199,19999,Cash,640
157,25200,30153,Sher Dil Khan,81000
152,25201,10209,Madar Building Materials,49780
152,25203,19999,Cash,2552.05
152,25204,10231,Morden Construction & Supplies,357.1
155,25205,10126,Hempel Paints,1727.2
152,25206,30108,Al-Rafee Enterprises W.L.L,20000
152,25208,19999,Cash,450
152,25209,11254,New Tools and Bolts Trading,280
152,25210,11254,New Tools and Bolts Trading,280
152,25211,11254,New Tools and Bolts Trading,220
155,25212,19999,Cash,189
100,25213,19999,Cash,5000
152,25215,10159,KG Plastic,1320
155,25216,11254,New Tools and Bolts Trading,140
155,25217,19999,Cash,700
152,25218,11362,Hafele W.L.L,492.94
155,25219,11254,New Tools and Bolts Trading,1309
152,25220,30108,Al-Rafee Enterprises W.L.L,160000
155,25221,10151,Hilti Qatar W.L.L,2018.51
152,25222,11315,Hepworth PME (Qatar) W.L.L,4393.12
152,25223,19999,Cash,380
159,25224,11254,New Tools and Bolts Trading,90
159,25225,19999,Cash,190
152,25226,11254,New Tools and Bolts Trading,985
129,25227,30293,Deco Project Trading,36900
155,25228,19999,Cash,738
M1,25230,19999,Cash,9105
152,25231,19999,Cash,50
155,25232,19999,Cash,920
M18,25233,19999,Cash,105
M18,25234,11254,New Tools and Bolts Trading,105
M18,25235,19999,Cash,190
HO,25236,19999,Cash,180
152,25237,19999,Cash,80
152,25239,11254,New Tools and Bolts Trading,438
152,25240,19999,Cash,105
152,25241,19999,Cash,340
155,25242,19999,Cash,92
155,25243,19999,Cash,360
155,25244,11375,Access Equipment Rental and Trading Gulf L.L.C,9800
152,25245,19999,Cash,2350
155,25246,11330,Trucks and Cranes L.L.C,2000
155,25247,10151,Hilti Qatar W.L.L,1280.51
155,25248,19999,Cash,1178
155,25249,10209,Madar Building Materials,2100
155,25250,19999,Cash,35
152,25251,19999,Cash,800
157,25252,11254,New Tools and Bolts Trading,400
160,25253,11254,New Tools and Bolts Trading,708
159,25254,11233,Profixo Trading and Contracting W.L.L,1941
152,25255,11254,New Tools and Bolts Trading,739
M1,25256,19999,Cash,630
152,25257,10239,Abdel Latif,20225
HO,25258,19999,Cash,1458
153,25259,19999,Cash,600
HO,25260,11349,Canon Office Imaging Solutions L.L.C,6470
HO,25261,19999,Cash,136
152,25262,19999,Cash,4739
HO,25263,11298,Ooredoo Q.S.C,1279.68
152,25264,10194,Al-Feroz International Trading,16000
155,25265,11318,Aamal Cement Industries W.L.L,12756.5
152,25266,19999,Cash,1695
152,25267,10220,Al - Andalus Marble Decor And Granite Co.,25225
152,25268,19999,Cash,2400
152,25269,19999,Cash,550
152,25270,11254,New Tools and Bolts Trading,1585
152,25271,19999,Cash,360
157,25272,10239,Abdel Latif,500
155,25273,30269,Mahmoud Biddawi,862.2
HO,25275,11298,Ooredoo Q.S.C,1280
152,25276,11249,Adastra W.L.L,2436.95
152,25277,11249,Adastra W.L.L,780
152,25278,19999,Cash,753
152,25279,19999,Cash,50
155,25280,19999,Cash,780
129,25281,19999,Cash,151
HO,25283,19999,Cash,2438
HO,25284,19999,Cash,47
123,25285,19999,Cash,47
152,25286,10239,Abdel Latif,253660.7
M1,25287,19999,Cash,15000
152,25288,11254,New Tools and Bolts Trading,380
152,25289,11254,New Tools and Bolts Trading,690
152,25290,11351,Jotun Paints Qatar,17800
152,25291,11254,New Tools and Bolts Trading,420
155,25292,19999,Cash,54
152,25293,19999,Cash,79
155,25294,11263,Expanded Metal Manufacturing Co. Ltd.,397.5
155,25295,19999,Cash,2400
152,25296,10160,Lemax Electrical & Mechanical Trading,3815
HO,25297,19999,Cash,224
160,25298,30265,Qatar International Trading & Contracting Co.,32000.01
M1,25299,10196,Capital Trading Est.,656.64
155,25300,19999,Cash,228
155,25301,11274,Al Arabiya Laboratories,1120
155,25302,11375,Access Equipment Rental and Trading Gulf L.L.C,4600
155,25303,10202,Maysaloon Engineering Co.,900
155,25304,19999,Cash,480
HO,25305,19999,Cash,19832.5
155,25306,11254,New Tools and Bolts Trading,892
155,25307,10159,KG Plastic,1366
157,25309,19999,Cash,30
157,25310,19999,Cash,250
152,25311,19999,Cash,2017
152,25312,11216,Jasim Nema Blocks Factory,40000
152,25313,11334,Chemcon Contruction Chemicals,570
152,25314,11254,New Tools and Bolts Trading,340
155,25315,19999,Cash,191
157,25316,30153,Sher Dil Khan,5600
152,25317,30199,Hadara Doha for General Contracting,377516.52
155,25318,11377,Cabina Enterprises,138000
152,25319,19999,Cash,400
152,25320,19999,Cash,450
157,25321,11254,New Tools and Bolts Trading,1000
157,25322,11318,Aamal Cement Industries W.L.L,738
160,25323,11254,New Tools and Bolts Trading,216
152,25324,11238,Al Nemir Trading and Contracting,1645
152,25325,19999,Cash,35
152,25326,11249,Adastra W.L.L,780
152,25327,10209,Madar Building Materials,25760
152,25328,10126,Hempel Paints,1721.25
123,25329,30172,Ismail Bin Ali Furniture Industry WLL,39000
157,25330,30165,Qatar Mega Building Trading & Contracting,39492.01
155,25331,10137,Qatar Building Co,892
155,25332,11254,New Tools and Bolts Trading,110
160,25333,11334,Chemcon Contruction Chemicals,280
152,25334,11334,Chemcon Contruction Chemicals,1680
152,25336,11331,Al Qayed Travel and Tours,780
HO,25337,10139,Qatar Islamic Insurance,96
M1,25338,19999,Cash,580
160,25339,10160,Lemax Electrical & Mechanical Trading,5120
M18,25340,19999,Cash,8
155,25341,11258,Falkland Electricals and Trading Co. W.L.L,9679
155,25342,11258,Falkland Electricals and Trading Co. W.L.L,7810
155,25343,10160,Lemax Electrical & Mechanical Trading,4243
152,25344,11378,City Electrical Trading and Contracting W.L.L,15500
155,25345,19999,Cash,3333.73
155,25346,19999,Cash,39
152,25347,19999,Cash,1673
155,25348,19999,Cash,218
155,25349,11254,New Tools and Bolts Trading,50
152,25350,10245,Don Construction Products - Qatar W.L.L,1700
152,25351,11334,Chemcon Contruction Chemicals,850
152,25352,11254,New Tools and Bolts Trading,1949
155,25353,10220,Al - Andalus Marble Decor And Granite Co.,53688.4
152,25354,10178,Elite Middle East,11000
155,25355,11337,Power Max Trading and Contracting Co. W.L.L,2491.4
152,25356,11238,Al Nemir Trading and Contracting,350
152,25357,11249,Adastra W.L.L,1428.4
HO,25358,19999,Cash,459
155,25359,11263,Expanded Metal Manufacturing Co. Ltd.,110
M1,25360,19999,Cash,139
155,25361,10126,Hempel Paints,765
155,25362,19999,Cash,815
M1,25363,19999,Cash,85
152,25364,19999,Cash,420
160,25365,19999,Cash,90
152,25366,11362,Hafele W.L.L,32329.1
160,25367,10250,BBMC Building Materials Co.,1800
152,25368,11254,New Tools and Bolts Trading,2000
152,25370,19999,Cash,397
152,25371,11254,New Tools and Bolts Trading,248
160,25372,11254,New Tools and Bolts Trading,942
160,25373,10245,Don Construction Products - Qatar W.L.L,300
152,25374,11362,Hafele W.L.L,284218.08
M5,25375,19999,Cash,500
M5,25376,10247,Union Trading Center,2349
M5,25377,19999,Cash,195
M5,25378,19999,Cash,80
M1,25379,10245,Don Construction Products - Qatar W.L.L,680
M5,25380,19999,Cash,400
M5,25381,19999,Cash,2160
155,25382,11375,Access Equipment Rental and Trading Gulf L.L.C,24500
152,25383,10223,Sea Gulf For Equipment Co.,66120
155,25384,30170,Sea Gulf For Equipment Company W.L.L,11520
155,25385,30170,Sea Gulf For Equipment Company W.L.L,33796
152,25386,10242,Felix Construction Co. W.L.L,550
152,25387,10242,Felix Construction Co. W.L.L,360
129,25388,19999,Cash,628
129,25389,19999,Cash,85
157,25390,1322,Rajasthan Building Materials / BR.W.L.L,765
129,25391,11254,New Tools and Bolts Trading,74
M5,25392,10245,Don Construction Products - Qatar W.L.L,680
155,25393,11274,Al Arabiya Laboratories,400
155,25394,11318,Aamal Cement Industries W.L.L,2460
152,25395,11254,New Tools and Bolts Trading,2040
152,25396,10126,Hempel Paints,2116.5
152,25397,11315,Hepworth PME (Qatar) W.L.L,2100
157,25398,11320,Fahad Bin Abdulla Block & Interlock Factory,2796
155,25399,11254,New Tools and Bolts Trading,40
155,25400,19999,Cash,16
157,25401,11254,New Tools and Bolts Trading,773
157,25402,11254,New Tools and Bolts Trading,576
M5,25403,11254,New Tools and Bolts Trading,6
152,25404,30170,Sea Gulf For Equipment Company W.L.L,66120
152,25405,10209,Madar Building Materials,234217.15
152,25406,19999,Cash,220
155,25407,19999,Cash,2205
100,25409,19999,Cash,200
100,25410,19999,Cash,2054
155,25411,10160,Lemax Electrical & Mechanical Trading,1837.5
100,25412,19999,Cash,3694
155,25413,10239,Abdel Latif,11306.25
152,25414,11258,Falkland Electricals and Trading Co. W.L.L,2300
129,25415,19999,Cash,380
152,25416,19999,Cash,160
100,25417,19999,Cash,569
155,25418,30262,OSIS Group,17182
157,25419,10239,Abdel Latif,1093.4
155,25420,11254,New Tools and Bolts Trading,570
157,25421,11254,New Tools and Bolts Trading,145
159,25422,10164,Gulf Laboratories Co.,39155
152,25424,11220,Mary for Cleaning Pest Control and Trad,1489.18
M1,25425,19999,Cash,1760
129,25427,11237,Aslak Trading & General Contracting,15205
152,25428,11254,New Tools and Bolts Trading,285
152,25429,19999,Cash,483.5
155,25430,11238,Al Nemir Trading and Contracting,525
155,25431,19999,Cash,639.5
100,25432,19999,Cash,14939.5
160,25433,30171,IBA Aluminium,22500
155,25434,11254,New Tools and Bolts Trading,500
159,25435,11254,New Tools and Bolts Trading,90
152,25436,11254,New Tools and Bolts Trading,145
155,25437,11254,New Tools and Bolts Trading,1291
155,25438,19999,Cash,130
160,25439,10227,Zeeman Services Solution,36701
160,25440,19999,Cash,12600
152,25441,19999,Cash,255.5
152,25442,10245,Don Construction Products - Qatar W.L.L,1200
160,25443,19999,Cash,285
153,25444,19999,Cash,16
157,25445,11320,Fahad Bin Abdulla Block & Interlock Factory,4712
100,25447,11233,Profixo Trading and Contracting W.L.L,954
152,25448,19999,Cash,1707.5
155,25450,19999,Cash,600
155,25451,10151,Hilti Qatar W.L.L,392
100,25452,19999,Cash,182
155,25453,10209,Madar Building Materials,1650
160,25454,10126,Hempel Paints,2705.1
155,25455,10209,Madar Building Materials,6998
155,25456,10209,Madar Building Materials,511672.41
155,25457,10209,Madar Building Materials,379006.5
155,25458,10209,Madar Building Materials,25950.6
155,25459,19999,Cash,242
155,25460,11254,New Tools and Bolts Trading,210
100,25461,19999,Cash,11917
160,25462,11348,Art and Built Solutions,2090
100,25463,11298,Ooredoo Q.S.C,8905
155,25464,19999,Cash,90
160,25465,11254,New Tools and Bolts Trading,490
152,25466,11254,New Tools and Bolts Trading,635
152,25467,19999,Cash,411.5
155,25468,10202,Maysaloon Engineering Co.,2280
157,25469,11320,Fahad Bin Abdulla Block & Interlock Factory,700
155,25470,30222,Options Sign,1100
129,25471,19999,Cash,843
152,25472,10245,Don Construction Products - Qatar W.L.L,1700
155,25473,11263,Expanded Metal Manufacturing Co. Ltd.,108
152,25474,19999,Cash,107
152,25475,10245,Don Construction Products - Qatar W.L.L,500
144,25476,30108,Al-Rafee Enterprises W.L.L,90000
100,25477,19999,Cash,4306
152,25478,30108,Al-Rafee Enterprises W.L.L,337920
100,25479,19999,Cash,3
155,25480,30230,Al Emadi Trading and Contracting Co.,87490.04
152,25481,19999,Cash,850
152,25482,11283,Wiltz Trading and Contracting W.L.L,180
152,25483,11283,Wiltz Trading and Contracting W.L.L,128
152,25484,10140,Qatar National Cement Co,0
155,25485,30175,SMEET Precast W.L.L,11000
152,25486,10239,Abdel Latif,0
152,25487,30173,Al Hazem Stainless Steel,40000
155,25488,30173,Al Hazem Stainless Steel,5876
122,25489,30241,Gulf Star W.L.L,1300
152,25490,11263,Expanded Metal Manufacturing Co. Ltd.,1025
152,25491,11254,New Tools and Bolts Trading,442
159,25492,19999,Cash,315
152,25493,19999,Cash,1350
152,25494,19999,Cash,3750
137.17,25495,30143,Al Emadi Stones,2000
155,25496,10235,Al Tofei Trading,11200
152,25497,10160,Lemax Electrical & Mechanical Trading,11400
155,25498,11375,Access Equipment Rental and Trading Gulf L.L.C,2786
155,25499,11375,Access Equipment Rental and Trading Gulf L.L.C,8550
HO,25500,10248,Saad Bin Majid Trading Co. W.L.L,9811
129,25501,10126,Hempel Paints,109
152,25502,10131,Marine Trading & Contracting Co.,1909.6
160,25503,10160,Lemax Electrical & Mechanical Trading,2670
152,25504,11249,Adastra W.L.L,3180
160,25505,10160,Lemax Electrical & Mechanical Trading,2750
155,25506,10209,Madar Building Materials,10800
155,25507,30230,Al Emadi Trading and Contracting Co.,153554.73
157,25508,11254,New Tools and Bolts Trading,125
152,25509,11269,Al Ahmadi Trading W.L.L,400
152,25510,10167,Qatari Home Design & Engineering Consultants,3000
155,25511,10239,Abdel Latif,1350
152,25512,19999,Cash,1610.01
152,25513,19999,Cash,20
M5,25514,10245,Don Construction Products - Qatar W.L.L,15
122,25515,19999,Cash,195
159,25516,19999,Cash,165
137.17,25517,19999,Cash,105
129,25518,19999,Cash,276
123,25519,19999,Cash,247
155,25520,10147,Conexion,4234.4
152,25521,10133,Mohd. Yousuf Kafood & Sons. Trad. & Cont. Co.,7296
157,25522,10130,Khalifa Steel Industries Co,76179.14
155,25523,11274,Al Arabiya Laboratories,400
155,25524,11254,New Tools and Bolts Trading,240
155,25525,19999,Cash,368
152,25526,11362,Hafele W.L.L,800
152,25527,19999,Cash,294
152,25528,11238,Al Nemir Trading and Contracting,220
152,25529,10130,Khalifa Steel Industries Co,2425
152,25530,11258,Falkland Electricals and Trading Co. W.L.L,11850.32
152,25531,11326,Supreme Technologies,2320
155,25532,10130,Khalifa Steel Industries Co,11493.51
122,25533,19999,Cash,180
M3,25534,10245,Don Construction Products - Qatar W.L.L,1260
M3,25535,11254,New Tools and Bolts Trading,12
M9,25536,11254,New Tools and Bolts Trading,12
M9,25537,10245,Don Construction Products - Qatar W.L.L,840
100,25538,19999,Cash,147
155,25539,10245,Don Construction Products - Qatar W.L.L,116
152,25540,11263,Expanded Metal Manufacturing Co. Ltd.,180
152,25541,11254,New Tools and Bolts Trading,840
152,25542,10134,Nabina Building Materials,400
157,25543,19999,Cash,66
100,25544,19999,Cash,69
152,25545,19999,Cash,320
100,25546,19999,Cash,570
152,25547,10245,Don Construction Products - Qatar W.L.L,3000
152,25548,11254,New Tools and Bolts Trading,300
159,25549,19999,Cash,150
152,25550,30165,Qatar Mega Building Trading & Contracting,74
155,25551,19999,Cash,340.5
152,25552,11378,City Electrical Trading and Contracting W.L.L,5975
152,25553,1322,Rajasthan Building Materials / BR.W.L.L,1400
155,25554,19999,Cash,1904.35
155,25555,10134,Nabina Building Materials,160
155,25556,11254,New Tools and Bolts Trading,60
155,25557,11254,New Tools and Bolts Trading,1902
152,25558,30224,Alaman Design,225753.8
155,25559,11254,New Tools and Bolts Trading,50
152,25560,19999,Cash,33
152,25561,10245,Don Construction Products - Qatar W.L.L,0
152,25562,11254,New Tools and Bolts Trading,759
155,25563,11323,Rashid Al Mulla Sanitary&BLDS Materials Co WLL,5130
155,25564,10146,Gulf Flag Co. W.L.L,7910
155,25565,10240,ALNAHA FOR TRADING & CONTRACTING,3000
157,25566,10142,Smeet Ready Mix,28800
152,25567,10201,Al Asas Factories,1537.5
157,25568,30203,Arab Dewatering Survey and Services,40908
152,25569,11344,Petroleum Technology Co. W.L.L,15536
155,25570,10160,Lemax Electrical & Mechanical Trading,6828.75
152,25571,11254,New Tools and Bolts Trading,735
152,25572,10245,Don Construction Products - Qatar W.L.L,1745
152,25573,10209,Madar Building Materials,9200
155,25574,11318,Aamal Cement Industries W.L.L,2952
155,25575,10126,Hempel Paints,626
157,25576,11254,New Tools and Bolts Trading,36
152,25577,10142,Smeet Ready Mix,93103
157,25578,11238,Al Nemir Trading and Contracting,135
M9,25579,10245,Don Construction Products - Qatar W.L.L,378
155,25580,10231,Morden Construction & Supplies,232.5
155,25581,10231,Morden Construction & Supplies,2641.28
155,25582,10231,Morden Construction & Supplies,28.94
155,25583,10231,Morden Construction & Supplies,10.85
100,25584,19999,Cash,50
155,25585,19999,Cash,12
100,25586,19999,Cash,3000
100,25587,19999,Cash,2550
144,25588,19999,Cash,60
155,25589,19999,Cash,250
100,25590,19999,Cash,1909
152,25591,11331,Al Qayed Travel and Tours,750
155,25592,11274,Al Arabiya Laboratories,460
157,25593,11254,New Tools and Bolts Trading,530
155,25594,11228,Printek Computers W.L.L,205
152,25595,19999,Cash,1413
152,25596,11254,New Tools and Bolts Trading,850
152,25597,11254,New Tools and Bolts Trading,400
152,25598,11238,Al Nemir Trading and Contracting,420
152,25599,10201,Al Asas Factories,4612.5
155,25600,10245,Don Construction Products - Qatar W.L.L,510
M9,25601,10160,Lemax Electrical & Mechanical Trading,687
157,25602,19999,Cash,144
100,25603,19999,Cash,353
152,25604,11330,Trucks and Cranes L.L.C,3600
HO,25605,19999,Cash,156
155,25606,10231,Morden Construction & Supplies,385.43
155,25607,10231,Morden Construction & Supplies,3146.5
155,25608,10231,Morden Construction & Supplies,903.65
155,25609,10231,Morden Construction & Supplies,1573.47
152,25610,10231,Morden Construction & Supplies,370.35
152,25611,19999,Cash,136
100,25612,11386,Al Zaman Lawyer and Legal Services,50400
100,25613,11380,MOHD. Walid Al Sharabati,35000
M9,25614,19999,Cash,1375
155,25615,11320,Fahad Bin Abdulla Block & Interlock Factory,1700
129,25616,11237,Aslak Trading & General Contracting,2392
152,25617,11237,Aslak Trading & General Contracting,12446.5
155,25618,11254,New Tools and Bolts Trading,512
155,25619,19999,Cash,159
155,25620,10134,Nabina Building Materials,360
152,25621,19999,Cash,1576
152,25622,11334,Chemcon Contruction Chemicals,1156
152,25623,11302,Ralee Computers W.L.L,160
152,25624,11254,New Tools and Bolts Trading,1199
152,25625,11254,New Tools and Bolts Trading,225
157,25626,11254,New Tools and Bolts Trading,1000
160,25627,30215,Abdul Hamid Abdul Rahim Al Emadi Trading Company,38000
100,25628,10139,Qatar Islamic Insurance,30333
152,25629,10139,Qatar Islamic Insurance,30333
155,25630,19999,Cash,286
152,25631,10159,KG Plastic,1650
152,25632,11362,Hafele W.L.L,31198.67
100,25633,11349,Canon Office Imaging Solutions L.L.C,3360
155,25634,11238,Al Nemir Trading and Contracting,35
152,25635,19999,Cash,65
152,25636,10159,KG Plastic,14205
155,25637,11375,Access Equipment Rental and Trading Gulf L.L.C,2200
155,25638,19999,Cash,40
152,25639,19999,Cash,30
100,25640,19999,Cash,900
155,25641,10126,Hempel Paints,7297.25
100,25642,19999,Cash,208
155,25644,19999,Cash,67
100,25645,11298,Ooredoo Q.S.C,2690
152,25646,19999,Cash,715
152,25647,10126,Hempel Paints,3931.25
155,25648,11254,New Tools and Bolts Trading,400
157,25649,11254,New Tools and Bolts Trading,2098
152,25650,10209,Madar Building Materials,49890.25
155,25651,11254,New Tools and Bolts Trading,85
155,25652,19999,Cash,69
152,25653,11254,New Tools and Bolts Trading,2034
152,25654,11254,New Tools and Bolts Trading,330
157,25655,10209,Madar Building Materials,92690
